,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
8575,Gregory,Brooklyn,Crown Heights,40.674141,-73.916435,196,30,93,11/7/2023,4.66,1,365,32,4.71,3 beds,1 private bath,Home in Brooklyn,2 bedrooms
8577,Margarita,Manhattan,Chinatown,40.71453,-73.99112,110,30,4,11/22/2023,0.38,2,336,4,4.75,1 bed,1.5 baths,Rental unit in New York,1 bedroom
8578,Adarsh,Brooklyn,Williamsburg,40.71809,-73.94444,280,30,78,12/3/2023,3.89,1,365,40,4.73,3 beds,2 baths,Loft in Brooklyn,2 bedrooms
8579,Annette,Manhattan,Lower East Side,40.713,-73.99231,95,30,6,8/22/2023,0.33,5,261,3,4.83,1 bed,1 bath,Rental unit in New York,1 bedroom
8580,Andrea,Brooklyn,Bushwick,40.68253,-73.90618,80,30,18,11/8/2023,0.93,3,365,7,4.89,1 bed,1 private bath,Condo in Brooklyn,1 bedroom
8581,Annette,Manhattan,Lower East Side,40.71314,-73.99226,95,30,4,11/15/2023,0.25,5,352,2,4.5,1 bed,1 bath,Rental unit in New York,1 bedroom
8582,Lucy,Manhattan,Chinatown,40.71568,-73.99846,178,30,14,9/11/2023,0.74,5,362,4,4.64,1 bed,1 shared bath,Rental unit in New York,1 bedroom
8583,Magali,Queens,Queens Village,40.71573,-73.7393,131,30,44,10/31/2023,2.2,1,365,24,4.95,2 beds,1 bath,Rental unit in Queens,1 bedroom
8584,Jessica,Manhattan,Stuyvesant Town,40.73567,-73.97858,367,30,29,12/3/2023,1.44,1,205,14,4.9,1 bed,1 bath,Rental unit in New York,1 bedroom
8585,Berni,Brooklyn,Fort Greene,40.68891,-73.97866,53,30,26,11/6/2023,1.31,2,343,16,4.15,1 bed,1 shared bath,Townhouse in Brooklyn,1 bedroom
8586,Benjamin,Queens,Flushing,40.77472,-73.82094,95,30,39,9/2/2023,2.24,3,364,11,4.82,1 bed,1 private bath,Rental unit in Queens,1 bedroom
8587,Rafael,Queens,East Elmhurst,40.76258,-73.8685,29,30,43,7/6/2023,2.17,7,165,18,4.86,1 bed,1 shared bath,Rental unit in New York,1 bedroom
8590,Rodney,Brooklyn,Bedford-Stuyvesant,40.68527,-73.93111,202,30,21,5/28/2023,1.07,1,269,6,4.86,1 bed,1 bath,Rental unit in Brooklyn,Studio
8591,Cecile,Brooklyn,Bedford-Stuyvesant,40.69358,-73.93535,113,30,11,6/1/2023,0.55,1,180,3,4.64,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
8592,Collin,Brooklyn,Bushwick,40.69281,-73.92333,106,30,9,11/7/2023,0.46,2,61,5,5,3 beds,1 bath,Rental unit in Brooklyn,3 bedrooms
8593,Nick,Queens,Elmhurst,40.74574,-73.88382,79,30,34,9/2/2023,1.73,2,26,11,4.82,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
8594,Zain,Queens,Sunnyside,40.743088,-73.923729,250,30,65,11/13/2023,3.28,4,365,36,4.78,6 beds,1 bath,Home in Queens,3 bedrooms
8595,Maria,Brooklyn,Canarsie,40.63262,-73.91316,130,30,32,8/8/2023,1.61,2,153,16,4.81,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
8596,VK & Div,Manhattan,Theater District,40.76221,-73.98308,225,30,7,9/26/2023,0.45,1,289,5,5,2 beds,1 bath,Condo in New York,1 bedroom
8597,Emily,Brooklyn,Fort Greene,40.68821,-73.97552,350,30,11,8/28/2023,0.59,1,83,5,4.91,1 bed,1 bath,Condo in Brooklyn,1 bedroom
8598,Shai,Manhattan,Hell's Kitchen,40.76293,-73.99549,265,30,7,10/2/2023,0.44,8,332,4,5,2 beds,2 baths,Rental unit in New York,2 bedrooms
8599,Ni,Brooklyn,Bushwick,40.687167,-73.90978245,85,30,11,9/11/2023,1.51,1,41,11,4.73,1 bed,1 private bath,Home in Brooklyn,1 bedroom
8600,Lidia,Brooklyn,Bedford-Stuyvesant,40.68584,-73.91911,211,30,41,9/25/2023,2.06,1,365,18,4.85,4 beds,1 bath,Vacation home in Brooklyn,2 bedrooms
8601,Henri,Manhattan,Midtown,40.747211,-73.987808,515,1,27,11/19/2023,1.65,13,189,26,4.96,4 beds,1 bath,Rental unit in New York,1 bedroom
8602,P,Manhattan,East Village,40.72707,-73.98432,140,30,3,11/11/2023,0.25,4,364,3,3.67,1 bed,1 bath,Rental unit in New York,1 bedroom
8603,Henri,Manhattan,Midtown,40.747211,-73.987808,548,1,26,11/9/2023,1.72,13,148,24,4.81,4 beds,1 bath,Rental unit in New York,Studio
8604,Jerry,Manhattan,SoHo,40.72361,-74.00231,1429,30,34,9/21/2023,2.02,1,180,22,4.94,3 beds,3 baths,Rental unit in New York,3 bedrooms
8605,Henri,Manhattan,Midtown,40.747211,-73.987808,256,1,24,11/17/2023,1.58,13,97,21,4.88,2 beds,1 bath,Rental unit in New York,Studio
8606,Patrick,Bronx,Allerton,40.859352,-73.864983,45,30,17,9/11/2023,0.85,8,15,4,4.94,1 bed,1 shared bath,Home in Bronx,1 bedroom
8607,Patrick,Bronx,Allerton,40.859352,-73.864983,45,30,22,10/18/2023,1.1,8,88,3,4.82,1 bed,1 shared bath,Home in Bronx,1 bedroom
8608,Henri,Manhattan,Midtown,40.747211,-73.987808,282,1,104,11/17/2023,6.54,13,223,101,4.72,2 beds,1 bath,Rental unit in New York,Studio
8609,Jason,Staten Island,Eltingville,40.54518,-74.15356,91,30,28,11/18/2023,1.51,1,29,25,4.86,2 beds,1 bath,Guest suite in Staten Island,1 bedroom
8610,Henri,Manhattan,Midtown,40.747211,-73.987808,343,1,28,9/24/2023,2.16,13,164,26,4.86,4 beds,1 bath,Rental unit in New York,Studio
8611,Henri,Manhattan,Midtown,40.747211,-73.987808,381,1,67,11/17/2023,4.89,13,207,64,4.75,3 beds,1 bath,Rental unit in New York,Studio
8612,Henri,Manhattan,Midtown,40.747211,-73.987808,364,1,35,11/15/2023,2.71,13,196,34,4.91,3 beds,1 bath,Rental unit in New York,Studio
8613,Angela,Manhattan,Harlem,40.80847,-73.94726,160,1,72,11/18/2023,3.62,3,64,33,4.61,2 beds,1 bath,Rental unit in New York,Studio
8614,Ali Günhan,Brooklyn,Sheepshead Bay,40.587,-73.95243,61,30,11,7/27/2023,0.55,2,365,8,5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
8615,Henri,Manhattan,Midtown,40.747211,-73.987808,466,1,29,11/16/2023,2.44,13,146,29,4.66,3 beds,1 bath,Rental unit in New York,2 bedrooms
8616,Jasmin,Brooklyn,Prospect-Lefferts Gardens,40.66338,-73.95263,225,30,25,5/29/2023,1.28,1,90,9,5,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
8617,Daniel,Manhattan,Upper West Side,40.77866,-73.97469,120,30,11,10/1/2023,0.73,9,328,7,4.82,2 beds,1 bath,Rental unit in New York,1 bedroom
8618,Bridgette,Queens,St. Albans,40.69188,-73.76669,115,30,4,8/22/2023,0.27,4,261,2,4.5,2 beds,1.5 baths,Home in Queens,2 bedrooms
8619,Yona,Brooklyn,East Flatbush,40.663673,-73.939026,135,30,14,11/1/2023,0.72,4,365,6,4.86,1 bed,1 bath,Condo in Brooklyn,Studio
8623,CozySuites Copake,Manhattan,Upper East Side,40.77123,-73.95756,90,30,7,11/12/2023,0.38,7,315,4,4.86,2 beds,1 bath,Rental unit in New York,Studio
8624,Jonathan,Brooklyn,South Slope,40.66686,-73.98871,300,30,61,11/27/2023,3.04,1,156,17,4.97,2 beds,1 bath,Condo in Brooklyn,1 bedroom
8625,Alexandra,Brooklyn,Greenpoint,40.73641,-73.95437,265,30,9,9/5/2023,0.46,1,90,4,5,1 bed,2 baths,Rental unit in Brooklyn,1 bedroom
8626,Jason,Brooklyn,Williamsburg,40.70758,-73.94117,150,30,12,8/14/2023,0.61,1,132,5,5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
8627,Betty,Brooklyn,East Flatbush,40.64463,-73.92356,125,30,17,9/4/2023,0.93,1,358,11,4.53,5 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
