,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
0,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,81,30,191,8/14/2023,1.08,1,142,4,4.58,1 bed,1 bath,Rental unit in Brooklyn,2 bedrooms
1,Cyn,Manhattan,East Harlem,40.78778,-73.94759,70,30,246,8/14/2023,1.43,1,93,4,4.88,1 bed,1 shared bath,Rental unit in New York,1 bedroom
2,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,205,2,355,12/3/2023,2.1,2,276,38,4.88,2 beds,1 private bath,Home in Brooklyn,1 bedroom
4,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,161,30,190,10/16/2023,1.09,2,365,25,4.77,4 beds,1 bath,Loft in Brooklyn,1 bedroom
5,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,90,30,80,9/16/2023,0.48,5,297,2,4.65,2 beds,1 shared bath,Rental unit in Brooklyn,1 bedroom
6,Edward,Manhattan,East Village,40.72296,-73.98383,70,30,315,11/5/2023,1.83,2,54,25,4.39,1 bed,1 shared bath,Rental unit in New York,1 bedroom
7,Orestes,Queens,Long Island City,40.74757,-73.94571,165,30,385,11/12/2023,2.35,1,264,40,4.91,1 bed,1 private bath,Townhouse in Queens,1 bedroom
8,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,111,30,202,11/25/2023,1.23,4,143,23,4.65,1 bed,1 private bath,Townhouse in Brooklyn,1 bedroom
9,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,115,30,177,9/1/2023,1.04,1,234,1,4.82,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
10,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,120,30,75,5/1/2023,0.44,1,188,2,4.52,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
11,Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,95,30,56,9/23/2023,0.34,1,183,6,4.87,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
12,Ted,Manhattan,Lower East Side,40.721359,-73.993668,160,30,37,9/30/2023,0.3,1,153,4,4.56,2 beds,1 bath,Condo in New York,1 bedroom
13,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,60,30,31,5/31/2023,0.18,1,345,2,4.64,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
14,Casey,Manhattan,East Village,40.72281,-73.98501,199,30,188,9/4/2023,1.37,2,28,19,4.72,1 bed,1 shared bath,Rental unit in New York,1 bedroom
15,Robin,Manhattan,East Harlem,40.8019,-73.93762,300,30,291,9/5/2023,1.72,1,261,26,4.85,6 beds,2 baths,Loft in New York,4 bedrooms
16,Reka,Manhattan,East Village,40.72372723,-73.97625851,163,1,531,11/15/2023,4.24,2,158,45,4.79,1 bed,1 shared bath,Condo in New York,1 bedroom
17,Justin,Queens,Woodside,40.74884,-73.90536,65,30,30,7/2/2023,0.18,1,59,1,5,1 bed,1 shared bath,Condo in Queens,1 bedroom
18,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,133,30,246,10/22/2023,1.59,1,347,14,4.95,1 bed,1.5 baths,Loft in New York,1 bedroom
19,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,200,30,317,10/7/2023,1.92,4,365,26,4.71,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
20,Ann,Manhattan,West Village,40.72961,-74.00308,700,30,58,1/4/2023,0.42,2,178,3,4.41,3 beds,2 baths,Home in New York,3 bedrooms
21,Brandon,Brooklyn,Park Slope,40.67115,-73.98026,220,30,90,6/18/2023,0.55,1,319,1,4.83,6 beds,3 baths,Rental unit in Brooklyn,4 bedrooms
22,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,90,30,73,10/27/2023,0.45,5,342,4,4.71,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
23,Christopher,Brooklyn,Clinton Hill,40.68292,-73.96381,99,3,388,12/1/2023,2.36,1,1,48,4.94,1 bed,1 shared bath,Condo in Brooklyn,1 bedroom
24,Uli,Manhattan,Lower East Side,40.72314,-73.99108,185,30,118,2/25/2023,0.72,1,349,1,4.76,1 bed,1 bath,Rental unit in New York,1 bedroom
25,Lara Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,175,30,74,11/6/2023,0.45,3,331,9,4.89,1 bed,1 bath,Condo in New York,1 bedroom
26,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,110,2,558,10/21/2023,3.42,2,303,31,4.52,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
27,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,195,30,295,11/2/2023,1.81,1,151,6,4.96,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
28,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,900,30,43,8/30/2023,0.31,1,294,4,4.7,5 beds,2.5 baths,Home in Brooklyn,5 bedrooms
29,Matthew,Manhattan,Harlem,40.8180576,-73.9466707,248,3,187,11/16/2023,1.16,1,92,34,4.84,1 bed,1 bath,Rental unit in New York,1 bedroom
30,Myung,Queens,Sunnyside,40.74523,-73.92318,78,30,32,9/1/2023,0.2,1,183,4,4.93,1 bed,1 bath,Rental unit in Long Island City,1 bedroom
31,Gus,Brooklyn,Williamsburg,40.7106514,-73.95087433,154,30,260,10/19/2023,1.6,2,80,11,4.82,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
32,Koray,Manhattan,Lower East Side,40.71992,-73.99167,750,30,69,6/5/2023,0.43,1,318,1,4.8,2 beds,2 baths,Loft in New York,2 bedrooms
33,Annette,Brooklyn,Carroll Gardens,40.67813,-74.00062,200,30,220,11/2/2023,1.37,4,364,25,4.66,1 bed,1 private bath,Townhouse in Brooklyn,1 bedroom
34,Nicholas,Staten Island,St. George,40.64633,-74.08156,70,30,188,11/7/2023,1.22,1,273,6,4.81,1 bed,1 shared bath,Rental unit in Staten Island,1 bedroom
36,Dana,Manhattan,West Village,40.73948,-74.00504,71,30,29,8/26/2023,0.18,1,62,4,4.42,1 bed,1 bath,Rental unit in New York,1 bedroom
37,Rahul,Manhattan,Morningside Heights,40.8063,-73.95985,98,31,133,5/31/2023,0.85,2,195,3,4.66,1 bed,1 shared bath,Bed and breakfast in New York,1 bedroom
38,Angela,Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,95,30,25,1/29/2023,0.16,5,243,1,4.42,2 beds,2 baths,Home in Brooklyn,1 bedroom
39,Litza,Queens,Ditmars Steinway,40.77868,-73.90652,180,30,76,11/21/2023,0.48,1,59,28,4.97,2 beds,1 private bath,Guest suite in Astoria,2 bedrooms
40,Kathleen R.,Brooklyn,Park Slope,40.67908,-73.97405,95,30,173,11/7/2023,1.08,3,307,23,4.75,1 bed,1.5 shared baths,Guest suite in Brooklyn,1 bedroom
41,Wayne,Manhattan,Harlem,40.81182,-73.94631,190,30,142,9/30/2023,0.9,4,362,22,4.65,4 beds,1 bath,Rental unit in New York,1 bedroom
42,Gus,Brooklyn,Williamsburg,40.71065,-73.95087,154,30,102,12/1/2023,0.81,2,62,6,4.83,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
43,Wayne,Manhattan,Harlem,40.81201,-73.94452,96,30,272,9/16/2023,1.72,4,90,22,4.67,1 bed,1 shared bath,Rental unit in New York,1 bedroom
44,Vasili,Queens,Ditmars Steinway,40.772472,-73.906075,89,30,159,11/7/2023,1.0,1,362,42,4.87,2 beds,1 bath,Rental unit in Astoria,1 bedroom
45,S.M.,Brooklyn,Brooklyn Heights,40.69003,-73.99338,399,30,295,11/8/2023,1.86,1,180,18,4.68,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
46,Simon,Manhattan,East Harlem,40.80747,-73.94076,119,30,386,11/6/2023,2.43,2,198,36,4.88,1 bed,1 bath,Rental unit in New York,1 bedroom
47,Agnes,Manhattan,Harlem,40.8238,-73.94444,52,30,679,9/1/2023,4.42,2,187,44,4.71,1 bed,1.5 baths,Rental unit in New York,1 bedroom
48,Drica,Manhattan,Lower East Side,40.71946,-73.98641,250,30,60,6/27/2023,0.38,1,365,1,4.67,1 bed,1 bath,Rental unit in New York,1 bedroom
49,Mark,Queens,Ridgewood,40.70271,-73.8993,262,30,4,2/10/2023,0.03,9,365,1,4.75,6 beds,1 bath,Rental unit in Queens,3 bedrooms
50,Ricardo & Ashlie,Manhattan,Chinatown,40.7178,-73.9932,325,30,79,10/21/2023,0.52,2,52,20,4.75,2 beds,1 bath,Rental unit in New York,2 bedrooms
51,Sue,Manhattan,East Village,40.7253,-73.98028,160,31,37,9/3/2023,0.24,1,30,1,4.81,1 bed,1 bath,Rental unit in New York,1 bedroom
52,Blanca,Manhattan,East Harlem,40.79266739,-73.9465332,120,30,196,10/12/2023,1.28,4,225,3,4.84,1 bed,1 bath,Rental unit in New York,1 bedroom
53,Vie,Bronx,Eastchester,40.881,-73.83511,114,30,57,10/1/2023,0.44,6,358,2,4.93,1 bed,1 bath,Rental unit in Bronx,1 bedroom
54,Maya,Brooklyn,Greenpoint,40.72967,-73.95352,335,30,172,11/14/2023,1.11,2,180,17,4.81,2 beds,2 baths,Home in Brooklyn,2 bedrooms
55,Anthony,Brooklyn,Crown Heights,40.67579,-73.95072,65,30,253,6/3/2023,1.65,2,354,2,4.79,1 bed,1 bath,Home in Brooklyn,1 bedroom
56,Tony,Manhattan,Nolita,40.72021,-73.99426,499,30,17,6/3/2023,0.11,3,365,4,4.94,2 beds,1 bath,Rental unit in New York,2 bedrooms
57,Larissa,Brooklyn,Williamsburg,40.70797,-73.94792,118,30,165,6/17/2023,1.05,2,66,4,4.52,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
58,Tony,Manhattan,Nolita,40.72036,-73.99435,199,30,211,6/21/2023,1.39,3,365,14,4.86,3 beds,1 bath,Rental unit in New York,2 bedrooms
59,Jana,Brooklyn,Gowanus,40.68088,-73.99102,220,30,241,11/20/2023,1.72,2,225,31,4.98,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
60,Samir,Manhattan,East Village,40.72547,-73.98619,370,30,167,10/16/2023,1.59,1,90,13,4.93,1 bed,1 bath,Loft in New York,Studio
61,Adrienne,Brooklyn,Williamsburg,40.71516,-73.96448,156,30,79,11/8/2023,0.51,1,47,5,4.88,2 beds,1 bath,Townhouse in Brooklyn,1 bedroom
62,Violetta,Manhattan,Upper West Side,40.78846,-73.97459,180,30,37,7/22/2023,0.25,1,331,3,4.97,1 bed,1 bath,Rental unit in New York,1 bedroom
63,Silvia,Manhattan,Upper West Side,40.77845,-73.98295,155,30,63,2/4/2023,0.45,1,104,2,4.82,1 bed,1 bath,Rental unit in New York,1 bedroom
64,Jennifer,Manhattan,Chinatown,40.7159,-73.99156,160,30,66,8/14/2023,0.43,1,148,8,4.79,1 bed,1 bath,Condo in New York,1 bedroom
65,Ruperto,Manhattan,Greenwich Village,40.72997,-74.00196,200,30,50,11/26/2023,0.35,1,243,7,4.85,1 bed,1 bath,Condo in New York,1 bedroom
66,Thai,Bronx,Kingsbridge,40.87069,-73.90113,90,30,16,5/28/2023,0.25,2,277,1,4.56,1 bed,1 bath,Rental unit in Bronx,1 bedroom
67,Nazleen,Queens,Astoria,40.77507,-73.93367,124,30,267,11/11/2023,1.76,1,365,23,4.67,2 beds,1 bath,Rental unit in Long Island City,1 bedroom
68,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,300,1,57,11/19/2023,0.37,30,337,15,4.84,1 bed,1 private bath,Boutique hotel in Brooklyn,1 bedroom
69,Patricia,Manhattan,Lower East Side,40.71911,-73.98588,120,30,418,11/27/2023,2.69,1,277,53,4.84,1 bed,1 bath,Rental unit in New York,Studio
70,Jennifer,Manhattan,East Village,40.72259903,-73.98545074,45,30,231,10/5/2023,1.5,1,39,21,4.41,2 beds,1 shared bath,Rental unit in New York,1 bedroom
71,Julian,Brooklyn,Bushwick,40.68769,-73.91788,77,30,247,5/24/2023,1.6,1,357,2,4.43,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
72,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,288,1,29,11/18/2023,0.2,30,333,4,4.9,1 bed,1 private bath,Boutique hotel in Brooklyn,1 bedroom
73,Sarah,Manhattan,East Village,40.72408,-73.98154,135,31,281,11/27/2023,1.83,1,364,5,4.79,1 bed,1 bath,Rental unit in New York,1 bedroom
74,Ruthven,Brooklyn,Bedford-Stuyvesant,40.68433,-73.94469,150,30,78,10/21/2023,0.81,1,334,3,4.91,3 beds,1 bath,Townhouse in Brooklyn,2 bedrooms
75,Marylyn Palmer,Brooklyn,Crown Heights,40.67823,-73.94719,90,30,241,9/29/2023,1.61,4,365,1,4.45,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
76,Keishera,Brooklyn,Crown Heights,40.6736,-73.9551,145,30,149,11/21/2023,0.97,1,359,9,4.87,1 bed,1.5 baths,Rental unit in Brooklyn,1 bedroom
77,Erica,Brooklyn,Clinton Hill,40.687,-73.96149,498,30,112,9/3/2023,0.75,2,361,10,4.6,5 beds,1 bath,Home in Brooklyn,2 bedrooms
78,Zora & Chris,Brooklyn,Bedford-Stuyvesant,40.68339,-73.94034,185,30,158,9/4/2023,1.06,1,178,12,4.9,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
79,Mi,Brooklyn,Gowanus,40.66952,-73.99201,150,30,119,6/17/2023,0.78,1,11,3,4.94,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
80,Tiffaney,Brooklyn,Williamsburg,40.72002,-73.94238,120,30,151,11/19/2023,1.06,1,223,25,4.76,3 beds,1 bath,Rental unit in Brooklyn,1 bedroom
81,Scott,Manhattan,Chelsea,40.74056,-74.00143,288,30,38,7/31/2023,0.25,1,333,1,4.8,1 bed,1 bath,Rental unit in New York,1 bedroom
82,Ade,Brooklyn,Williamsburg,40.71551,-73.96274,265,30,142,5/5/2023,1.14,1,304,2,4.79,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
83,Jameelah,Brooklyn,Bedford-Stuyvesant,40.69049,-73.93212,91,30,64,11/16/2023,0.43,4,270,5,4.56,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
84,Alicia,Manhattan,Harlem,40.82772,-73.95284,88,30,468,11/8/2023,3.06,1,267,20,4.86,1 bed,1.5 baths,Rental unit in New York,1 bedroom
85,Iulia,Queens,Sunnyside,40.73877,-73.92557,59,30,304,11/6/2023,2.13,1,215,12,4.9,2 beds,1 shared bath,Condo in Queens,1 bedroom
86,Susan,Manhattan,West Village,40.73814,-74.00811,92,31,12,10/3/2023,0.12,1,337,1,5,2 beds,1 shared bath,Rental unit in New York,2 bedrooms
87,Maya,Brooklyn,Greenpoint,40.72741,-73.95466,189,30,352,10/24/2023,2.32,2,180,26,4.76,2 beds,1 bath,Home in Brooklyn,1 bedroom
88,Nader,Manhattan,Lower East Side,40.71724,-73.99054,211,30,64,11/19/2023,0.61,1,177,15,4.97,1 bed,2 baths,Rental unit in New York,1 bedroom
89,Carol,Brooklyn,Fort Greene,40.69132,-73.97306,95,30,178,10/31/2023,1.17,2,365,1,4.63,1 bed,1 bath,Home in Brooklyn,1 bedroom
90,Anthony,Brooklyn,Crown Heights,40.67582,-73.9518,60,30,274,10/20/2023,1.8,2,364,2,4.75,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
91,Jane,Brooklyn,Fort Greene,40.69062,-73.97354,180,30,154,7/26/2023,1.04,2,342,13,4.92,1 bed,1 private bath,Home in Brooklyn,1 bedroom
92,Orlando,Manhattan,Harlem,40.80592,-73.95172,85,30,27,9/10/2023,0.25,1,348,2,4.74,1 bed,1 shared bath,Rental unit in New York,1 bedroom
93,Lilly,Queens,Astoria,40.76406,-73.92266,110,30,41,9/23/2023,0.28,1,88,3,4.63,1 bed,1 bath,Rental unit in Long Island City,1 bedroom
94,Yana,Brooklyn,Bensonhurst,40.61943,-73.99232,110,30,32,9/30/2023,0.22,1,338,3,4.88,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
95,Anton,Manhattan,Chelsea,40.7401,-74.00019,139,30,36,6/30/2023,0.24,1,67,1,4.8,1 bed,1 bath,Rental unit in New York,1 bedroom
96,Tracy,Manhattan,Murray Hill,40.74564,-73.97782,68,30,145,2/21/2023,0.95,1,255,2,4.85,1 bed,1 shared bath,Rental unit in New York,1 bedroom
97,Marina,Staten Island,Shore Acres,40.61019,-74.06757,84,30,94,11/1/2023,0.63,1,136,5,4.58,1 bed,1 bath,Rental unit in Staten Island,1 bedroom
98,Ryan,Brooklyn,Williamsburg,40.71137,-73.9465,129,30,249,9/29/2023,1.68,2,270,21,4.92,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
99,Christopher,Brooklyn,Fort Greene,40.68646,-73.97548,170,30,133,8/30/2023,0.9,1,290,11,4.81,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
100,Kimball,Manhattan,Upper West Side,40.78764,-73.97274,150,30,103,10/31/2023,0.69,1,76,3,4.58,2 beds,1 bath,Rental unit in New York,1 bedroom
101,Irena,Brooklyn,Park Slope,40.67497,-73.97796,325,30,42,8/29/2023,0.31,1,93,6,4.86,3 beds,2.5 shared baths,Townhouse in Brooklyn,3 bedrooms
102,Jessica,Brooklyn,Crown Heights,40.67478,-73.95165,65,30,82,8/2/2023,0.55,1,26,4,4.38,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
103,Daniel,Brooklyn,Williamsburg,40.71347,-73.96035,295,30,193,12/2/2023,1.28,1,1,14,4.93,3 beds,1 bath,Rental unit in Brooklyn,Studio
104,Blanca,Manhattan,East Harlem,40.79147,-73.94629,150,30,121,7/8/2023,0.82,4,159,1,4.9,1 bed,1 bath,Rental unit in New York,1 bedroom
105,Orna,Brooklyn,Park Slope,40.67487,-73.97637,900,30,41,5/29/2023,0.29,2,365,1,4.45,4 beds,2 baths,Home in Brooklyn,3 bedrooms
106,Melody,Queens,Ridgewood,40.70132,-73.90883,87,30,24,9/5/2023,0.19,1,365,4,4.74,2 beds,1 bath,Rental unit in New York,1 bedroom
107,Bertie,Brooklyn,South Slope,40.66386,-73.98519,300,30,39,8/14/2023,0.27,1,5,1,4.92,3 beds,2 baths,Loft in Brooklyn,3 bedrooms
108,Daniel,Manhattan,Midtown,40.75408,-73.97071,168,30,155,9/29/2023,1.05,1,106,5,4.69,1 bed,1 bath,Condo in New York,1 bedroom
109,Blue,Manhattan,Lower East Side,40.72113,-73.98442,130,30,115,11/14/2023,0.78,1,333,5,4.7,1 bed,1 bath,Rental unit in New York,1 bedroom
110,Mihalis,Brooklyn,Williamsburg,40.71345,-73.94289,250,30,113,11/12/2023,0.82,1,167,19,4.9,3 beds,1 bath,Home in Brooklyn,3 bedrooms
111,Peter,Manhattan,Lower East Side,40.7203,-73.98424,375,4,58,10/16/2023,0.39,1,209,16,4.98,2 beds,2 baths,Rental unit in New York,2 bedrooms
112,Nancy,Queens,Ditmars Steinway,40.77539,-73.91709,250,30,56,6/9/2023,0.38,1,232,2,4.87,1 bed,1 bath,Guesthouse in Queens,1 bedroom
113,Alkhabir,Brooklyn,Bedford-Stuyvesant,40.68927,-73.95439,150,30,275,11/12/2023,1.86,1,365,26,4.63,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
114,Laura,Brooklyn,Williamsburg,40.71596,-73.96017,115,30,145,4/1/2023,1.0,1,38,1,4.75,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
115,Andres,Brooklyn,Williamsburg,40.71174,-73.95798,457,31,56,11/26/2023,0.56,1,335,5,4.98,3 beds,2.5 baths,Townhouse in Brooklyn,3 bedrooms
116,Seith,Manhattan,East Village,40.72641,-73.98711,249,30,459,10/31/2023,3.07,2,365,39,4.17,3 beds,1 private bath,Townhouse in New York,1 bedroom
117,Giancarlo,Manhattan,Upper West Side,40.79864,-73.96209,275,31,187,7/9/2023,1.24,1,78,2,4.63,3 beds,1 bath,Rental unit in New York,2 bedrooms
118,Mary And Charles,Brooklyn,Williamsburg,40.71065,-73.94102,155,30,25,11/5/2023,0.17,1,330,5,4.76,1 bed,1 bath,Condo in Brooklyn,1 bedroom
119,Sara,Brooklyn,Windsor Terrace,40.65891,-73.98556,120,30,121,11/19/2023,0.81,1,46,4,4.62,1 bed,1 bath,Guest suite in Brooklyn,1 bedroom
120,Carol,Manhattan,Upper West Side,40.78615,-73.97394,199,30,208,11/6/2023,1.42,1,360,27,4.94,1 bed,2 baths,Rental unit in New York,2 bedrooms
121,Vanessa,Bronx,University Heights,40.85981,-73.9063,45,30,164,11/5/2023,1.09,1,341,7,4.47,1 bed,1 shared bath,Home in Bronx,1 bedroom
122,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,316,1,88,11/20/2023,0.62,30,326,3,4.85,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
123,Douglas,Brooklyn,Fort Greene,40.68877615,-73.9776236,89,2,193,11/23/2023,1.65,2,215,65,4.92,1 bed,1.5 shared baths,"Rental unit in Brooklyn, NY",1 bedroom
124,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,316,1,36,11/6/2023,0.24,30,330,2,4.78,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
125,Omri,Manhattan,Chelsea,40.74937,-73.99467,230,30,32,9/27/2023,0.21,1,117,5,4.9,2 beds,1 bath,Condo in New York,Studio
126,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,292,1,38,11/25/2023,0.27,30,309,9,4.89,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
127,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,299,1,13,10/22/2023,0.12,30,17,6,4.92,2 beds,1 private bath,Boutique hotel in Brooklyn,1 bedroom
128,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,288,1,31,7/30/2023,0.23,30,336,3,4.74,1 bed,1 private bath,Boutique hotel in Brooklyn,1 bedroom
129,Bree,Brooklyn,Williamsburg,40.7113482,-73.95338679,95,30,45,9/30/2023,0.49,2,90,9,4.93,2 beds,2 baths,Condo in Brooklyn,2 bedrooms
130,Christopher,Brooklyn,Bedford-Stuyvesant,40.69101,-73.95018,225,4,251,11/25/2023,1.71,1,259,29,4.59,2 beds,1 bath,Guest suite in Brooklyn,2 bedrooms
131,Christian & Carla,Bronx,Allerton,40.86502,-73.85496,175,60,346,11/5/2023,2.32,2,365,15,4.68,2 beds,1 bath,Guest suite in Bronx,1 bedroom
132,Jaime,Brooklyn,Bedford-Stuyvesant,40.68278,-73.95549,193,30,39,6/1/2023,0.27,1,362,1,4.87,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
133,Douglas,Brooklyn,Fort Greene,40.6879299,-73.976464,95,2,45,10/26/2023,0.45,2,2,21,4.96,1 bed,1.5 shared baths,"Rental unit in Brooklyn, NY",1 bedroom
134,Rad,Manhattan,Tribeca,40.71704,-74.00908,174,30,35,9/19/2023,0.24,1,131,4,4.73,2 beds,1 bath,Loft in New York,1 bedroom
135,Alan,Brooklyn,Park Slope,40.66836,-73.98166,130,30,313,11/2/2023,2.2,1,325,46,4.7,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
136,Tony,Manhattan,Chelsea,40.74735,-74.00208,160,30,126,10/8/2023,0.87,1,42,24,4.57,1 bed,1 private bath,Townhouse in New York,1 bedroom
137,West Village,Manhattan,West Village,40.73219,-74.00289,216,30,272,11/14/2023,1.87,1,241,32,4.45,2 beds,1 bath,Rental unit in New York,2 bedrooms
138,Marisa And Colin,Brooklyn,Fort Greene,40.69749832,-73.97722626,155,30,129,8/30/2023,0.89,1,73,5,4.67,3 beds,1 bath,Rental unit in Brooklyn,3 bedrooms
139,Toni,Brooklyn,Bedford-Stuyvesant,40.6836,-73.95445,120,30,255,10/22/2023,1.71,2,365,18,4.81,1 bed,1 private bath,Townhouse in Brooklyn,1 bedroom
140,Lennay,Manhattan,Upper East Side,40.7794,-73.95096,90,30,41,8/14/2023,0.38,1,118,1,4.83,1 bed,1 bath,Rental unit in New York,1 bedroom
141,Demi,Brooklyn,Crown Heights,40.67635,-73.96108,105,30,131,11/1/2023,0.89,1,324,3,4.52,1 bed,1 bath,Townhouse in Brooklyn,Studio
142,Drew,Manhattan,Lower East Side,40.719482,-73.98877,155,30,78,10/4/2023,0.55,2,283,1,4.59,2 beds,1 bath,Rental unit in New York,2 bedrooms
143,Sinem,Manhattan,Lower East Side,40.71941,-73.98968,250,30,90,2/18/2023,0.65,3,215,2,4.23,2 beds,1 bath,Rental unit in New York,2 bedrooms
144,Janice,Brooklyn,Kensington,40.64295,-73.97293,60,30,57,11/24/2023,0.57,1,179,18,4.96,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
145,Jesse,Manhattan,Hell's Kitchen,40.75622,-73.99455,129,4,199,11/17/2023,1.42,3,133,26,4.88,2 beds,1 shared bath,Rental unit in New York,1 bedroom
147,Ron,Manhattan,Chelsea,40.74828,-73.9917,220,30,152,11/6/2023,1.08,1,362,27,4.96,1 bed,1 bath,Rental unit in New York,1 bedroom
148,Cameron,Manhattan,East Village,40.72499,-73.99198,212,30,36,9/3/2023,0.25,1,193,4,4.8,1 bed,1 bath,Rental unit in New York,1 bedroom
149,Marc,Manhattan,Chinatown,40.71481,-73.99059,125,30,161,8/11/2023,1.13,1,178,1,4.39,1 bed,1 private bath,Rental unit in New York,1 bedroom
151,Kwab,Brooklyn,Bedford-Stuyvesant,40.68413,-73.93538,140,30,241,11/2/2023,1.7,3,270,8,4.71,2 beds,1 bath,Guest suite in Brooklyn,2 bedrooms
152,Christina,Brooklyn,Williamsburg,40.71942398,-73.96005437,210,30,121,9/24/2023,0.85,1,180,13,4.97,1 bed,1 shared bath,Loft in Brooklyn,1 bedroom
153,Chauncey,Brooklyn,Prospect Heights,40.67782,-73.97205,700,30,185,11/26/2023,1.27,1,365,25,4.87,3 beds,2 baths,Rental unit in Brooklyn,3 bedrooms
154,Bia,Manhattan,East Harlem,40.79241,-73.93805,50,30,272,11/9/2023,1.9,2,364,4,4.49,1 bed,1 bath,Rental unit in New York,1 bedroom
155,Gordy,Brooklyn,Bedford-Stuyvesant,40.68607,-73.95536,1129,4,215,11/25/2023,1.51,1,211,20,4.87,18 beds,4 baths,Home in Brooklyn,8 bedrooms
156,Tw,Manhattan,Harlem,40.8078,-73.95232,130,30,141,10/14/2023,1.43,1,344,15,4.93,3 beds,0 shared baths,Home in New York,1 bedroom
157,Erika,Brooklyn,Crown Heights,40.67223,-73.95556,120,30,345,9/25/2023,2.38,1,107,31,4.84,1 bed,1 bath,Rental unit in New York,Studio
158,Carey,Manhattan,Hell's Kitchen,40.76198,-73.99361,189,30,74,1/2/2023,0.52,1,112,1,4.93,1 bed,1 bath,Rental unit in New York,1 bedroom
159,Paul & Ewa,Brooklyn,Carroll Gardens,40.67933,-73.995,200,30,130,11/12/2023,0.9,1,365,5,4.98,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
160,Orit,Bronx,Spuyten Duyvil,40.88095,-73.91701,151,30,146,10/9/2023,1.58,1,365,27,4.74,4 beds,1 bath,Guest suite in Riverdale ,2 bedrooms
161,Cristina,Manhattan,Upper East Side,40.77,-73.95842,120,30,104,11/7/2023,0.74,1,92,3,4.66,1 bed,1 shared bath,Rental unit in New York,1 bedroom
162,Lauren,Manhattan,West Village,40.73431,-74.00225,218,60,114,8/31/2023,0.8,1,182,1,4.87,1 bed,1 bath,Rental unit in New York,1 bedroom
